ref_num	short_id	doi	pmid	source1	source2	full_text_checked	checked_by	checked_date	notes
1	idsa2017-infectious-diarrhea	10.1093/cid/cix959		https://doi.org/10.1093/cid/cix959	https://api.crossref.org/works/10.1093%2Fcid%2Fcix959	TODO			TODO: verify (2 sources + full text)
2	acg2016-acute-diarrheal-infections	10.1038/ajg.2016.126		https://doi.org/10.1038/ajg.2016.126	https://api.crossref.org/works/10.1038%2Fajg.2016.126	TODO			TODO: verify (2 sources + full text)
3	moon2023-age-burden-us	10.14309/ajg.0000000000002186		https://doi.org/10.14309/ajg.0000000000002186	https://api.crossref.org/works/10.14309%2Fajg.0000000000002186	TODO			TODO: verify (2 sources + full text)
4	cates2025-norovirus-costs-vha	10.1001/jamanetworkopen.2025.36600		https://doi.org/10.1001/jamanetworkopen.2025.36600	https://api.crossref.org/works/10.1001%2Fjamanetworkopen.2025.36600	TODO			TODO: verify (2 sources + full text)
5	singer2016-sepsis3	10.1001/jama.2016.0287		https://doi.org/10.1001/jama.2016.0287	https://api.crossref.org/works/10.1001%2Fjama.2016.0287	TODO			TODO: verify (2 sources + full text)
6	freund2017-qsofa-ed	10.1001/jama.2016.20329		https://doi.org/10.1001/jama.2016.20329	https://api.crossref.org/works/10.1001%2Fjama.2016.20329	TODO			TODO: verify (2 sources + full text)
7	rcp2017-news2	10.7717/peerj.6947		https://doi.org/10.7717/peerj.6947	https://api.crossref.org/works/10.7717%2Fpeerj.6947	TODO			TODO: verify (2 sources + full text)
8	ahrq2012-esi-handbook	10.1111/j.1553-2712.2000.tb01066.x		https://doi.org/10.1111/j.1553-2712.2000.tb01066.x	https://api.crossref.org/works/10.1111%2Fj.1553-2712.2000.tb01066.x	TODO			TODO: verify (2 sources + full text)
9	hosseini2026-ml-ed-sr	10.1177/20552076251411209		https://doi.org/10.1177/20552076251411209	https://api.crossref.org/works/10.1177%2F20552076251411209	TODO			TODO: verify (2 sources + full text)
10	collins2015-tripod-bmc	10.1186/s12916-014-0241-z		https://doi.org/10.1186/s12916-014-0241-z	https://api.crossref.org/works/10.1186%2Fs12916-014-0241-z	TODO			TODO: verify (2 sources + full text)
11	moons2015-tripod-ee	10.7326/M14-0698		https://doi.org/10.7326/M14-0698	https://api.crossref.org/works/10.7326%2FM14-0698	TODO			TODO: verify (2 sources + full text)
12	collins2024-tripod-ai	10.1136/bmj-2023-078378		https://doi.org/10.1136/bmj-2023-078378	https://api.crossref.org/works/10.1136%2Fbmj-2023-078378	TODO			TODO: verify (2 sources + full text)
13	wolff2019-probast	10.7326/M18-1376		https://doi.org/10.7326/M18-1376	https://api.crossref.org/works/10.7326%2FM18-1376	TODO			TODO: verify (2 sources + full text)
14	moons2019-probast-ee	10.7326/M18-1377		https://doi.org/10.7326/M18-1377	https://api.crossref.org/works/10.7326%2FM18-1377	TODO			TODO: verify (2 sources + full text)
